Links,Product Name,Total Product Sold,Product Price,Product Rating,Product Rater Quantity,Seller Name,Seller Response Rate,Seller Overall Rater Quantity,Seller Joined Duration,Seller Number of Follower
https://shopee.com.my/Puma-Men-Divecat-v2-Slide-Shoe-Kasut-Lelaki-(369400-01)-Sport-Planet-A-4-A-5-i.43568257.4639374095,Puma Men Divecat v2 Slide Shoe Kasut Lelaki (369400-01) Sport Planet A-4/A-5,562,58.4,4.9,355,sportplanet.os,87,25700,1080,79200
https://shopee.com.my/Fipper-Slip-On-Non-Rubber-for-Unisex-in-Blue-(Midnight)-Gold-i.27414006.8249799000,Fipper Slip On Non-Rubber for Unisex in Blue (Midnight) / Gold,532,43.9,4.8,358,fipperhq,59,227,120,1500
https://shopee.com.my/XES-Men-BSMM60695-Slip-on-Comfort-Sandals-(Black-Navy)-i.18159534.7256158493,"XES Men BSMM60695 Slip-on Comfort Sandals (Black, Navy)",498,18.0,4.9,302,xesshoes,100,115600,1440,610200
https://shopee.com.my/BUM-Equipment-Men's-Comfort-Ceres-Slide-Sandals-Black-Edition-Black-Grey-i.166368070.6578608102,BUM Equipment Men's Comfort Ceres Slide Sandals Black Edition - Black/Grey,487,35.1,4.9,300,neckermann.os,86,48500,1440,363100
https://shopee.com.my/Skechers-Men-Foamies-GOwalk-5-243002-CCOR-i.28244780.6865631431,Skechers Men Foamies GOwalk 5 - 243002-CCOR,479,199.0,4.9,301,skechers.os,87,25700,1080,79200
https://shopee.com.my/BHPC-Men-Formal-Slip-On-Comfort-Shoes-90268-Free-Name-Customisation--i.267627342.5353139599,BHPC Men Formal Slip-On  Comfort Shoes 90268[Free Name Customisation],471,79.0,5.0,332,tomorrowshowtime.os,84,6500,1080,19700
https://shopee.com.my/Fipper-Slipper-Walker-Rubber-Slipper-for-Men-Women-(New-Collection)-i.27414006.10853504752,Fipper Slipper Walker Rubber Slipper for Men & Women (New Collection),417,21.5,4.9,200,fipperhq,90,22100,570,101000
https://shopee.com.my/Skechers-Men-Go-Walk-5-Shoes-55503-NVYL-i.28244780.5550943255,Skechers Men Go Walk 5 Shoes - 55503-NVYL,410,179.5,4.9,242,skechers.os,100,115600,1440,610200
https://shopee.com.my/Black-Hammer-Walking-Sandals-Black-Brown-BH-201906-SD-i.5527834.7456978315,Black Hammer Walking Sandals - Black/Brown BH-201906-SD,394,63.96,5.0,269,blackhammer,86,48500,1440,363100
https://shopee.com.my/PUMA-Unisex-Leadcat-FTR-Suede-Classic-Slides-Slippers-i.341487315.4566695405,PUMA Unisex Leadcat FTR Suede Classic Slides Slippers,394,179.0,4.8,163,pumamy.os,69,7500,600,102600
https://shopee.com.my/XES-Men-BSMM20730-Stylish-Slides-(Brown-Black-Navy)-i.18159534.8550215583,"XES Men BSMM20730 Stylish Slides (Brown, Black, Navy)",390,12.0,5.0,234,xesshoes,92,253000,1800,148700
https://shopee.com.my/Dr-Cardin-Men-Comfort-Sandals-D-SLM-7755-i.134516310.8752035087,Dr Cardin Men  Comfort Sandals D-SLM-7755,381,56.0,5.0,244,drcardin.os,81,13100,1800,30000
https://shopee.com.my/Dr-Cardin-Men-Light-Comfort-Slides-Sandals-D-SLP7677-i.134516310.6660678078,Dr Cardin Men Light Comfort Slides Sandals D-SLP7677,380,56.0,4.9,261,drcardin.os,85,104700,1440,286700
https://shopee.com.my/Dr-Cardin-Synthetic-Leather-Cushioned-Men-Sandals-D-GNT-7777-TIHC-i.134516310.10138208047,Dr Cardin Synthetic Leather Cushioned Men Sandals D-GNT-7777-TIHC,375,62.0,5.0,211,drcardin.os,82,7400,1800,20500
https://shopee.com.my/Dr-Cardin-Synthetic-Leather-Cushioned-Men-Sandals-D-GNT-7776-TIHC-i.134516310.11637749645,Dr Cardin Synthetic Leather Cushioned Men Sandals D-GNT-7776-TIHC,373,62.0,4.9,228,drcardin.os,92,253000,1800,148700
https://shopee.com.my/Skechers-Men-Foamies-Go-Walk-5-243002-NVRD-i.28244780.5865647722,Skechers Men Foamies Go Walk 5 - 243002-NVRD,367,199.0,4.9,244,skechers.os,77,5500,630,28100
https://shopee.com.my/Adda-34B01M2-Sandal-Lelaki-Men-Sandals-Flip-Flops-i.8641646.4097669374,Adda 34B01M2 Sandal Lelaki Men Sandals Flip Flops,367,22.5,4.9,214,monobomalaysia,100,6100,930,1600
https://shopee.com.my/Birkenstock-Gizeh-EVA-128201-Black-i.87217620.5433497443,Birkenstock Gizeh EVA 128201 - Black,357,151.19,5.0,183,uwalkmy.os,78,151400,990,396900
https://shopee.com.my/BIRKENSTOCK-Arizona-EVA-Men's-Regular-Width-Sandals-In-Black-129421-i.86994511.2120476970,BIRKENSTOCK Arizona EVA Men's Regular Width Sandals In Black- 129421,345,168.21,4.8,182,birkenstock.os,72,2900,1080,42300
https://shopee.com.my/Cavando-Men's-Sandal-CMQ59037-CMQ59038-(Black-Gray)-i.28869314.7851299866,Cavando Men's Sandal CMQ59037 / CMQ59038 (Black/Gray),344,19.0,5.0,224,bumequipment,97,904,570,744
https://shopee.com.my/BATA-Mens-Black-Sandals-8626965-i.45681546.7057512651,BATA Mens Black Sandals - 8626965,332,31.99,4.9,185,bata.os,86,48500,1440,363100
https://shopee.com.my/Cavando-Men's-Slipper-CMH39915-CMH39916-i.28869314.5518503229,Cavando Men's Slipper CMH39915 / CMH39916,324,12.12,5.0,202,bumequipment,89,256400,1800,269900
https://shopee.com.my/XES-Men-BSMM20726-Stylish-Slipper-(Light-Grey-Black)-i.18159534.8129252948,"XES Men BSMM20726 Stylish Slipper (Light Grey, Black)",322,23.5,4.9,194,xesshoes,53,21500,2160,28800
https://shopee.com.my/Adda-57V01-Sandal-Lelaki-Men-Sandals-Flip-Flops-i.8641646.9467592363,Adda 57V01 Sandal Lelaki Men Sandals Flip Flops,318,14.5,4.9,172,monobomalaysia,100,115600,1440,610200
https://shopee.com.my/asadi-Ladies-Sandal-Comodo-Series-LJA1543-EU37-41-(Beige)-i.81901343.10847257045,asadi Ladies Sandal Comodo Series [LJA1543] EU37-41 (Beige),307,33.15,5.0,163,asadi_malaysia,60,29500,390,52900
https://shopee.com.my/MOZO-Men's-Capal-Sandal-40003-i.205410464.4942949455,MOZO Men's Capal Sandal 40003,298,69.9,4.9,195,mozoshoes.os,88,116300,1440,192700
https://shopee.com.my/Levi's-June-Slides-Men-37544-0024-i.21657241.6024708668,Levi's June Slides Men 37544-0024,296,62.0,4.9,208,levimy.os,94,69000,1800,309800
https://shopee.com.my/asadi-Ladies-Sandal-Comodo-Series-LJA1543-EU37-41-(Pink)-i.81901343.10537358714,asadi Ladies Sandal Comodo Series [LJA1543] EU37-41 (Pink),288,33.15,4.8,159,asadi_malaysia,92,253000,1800,148700
https://shopee.com.my/Shucare-Canvas-Renovator-Black-50ml-Dye-For-Fabric-Pewarna-Untuk-Kasut-Jenis-Kain-Hitam-i.264015661.8922379035,Shucare Canvas Renovator Black 50ml Dye For Fabric Pewarna Untuk Kasut Jenis Kain Hitam,279,16.9,5.0,149,shucare.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-GOwalk-5-Shoes-216063-BBK-i.28244780.8958970404,Skechers Men GOwalk 5 Shoes - 216063-BBK,271,251.3,4.9,180,skechers.os,89,256400,1800,269900
https://shopee.com.my/ABARO-Super-Light-Comfy-FFA711G3-Tropix-Men-Slippers-Soft-Foam-Selipar-Lelaki-Kasut-Lelaki-i.14682573.9242487246,ABARO Super Light Comfy FFA711G3 Tropix Men Slippers Soft Foam Selipar Lelaki/Kasut Lelaki,267,22.9,5.0,152,abaroshoes.os,78,151400,990,396900
https://shopee.com.my/Cavando-Men's-Sandals-CMH39017-CMH39018-(BLACK-BLUE)-i.28869314.7465828888,Cavando Men's Sandals CMH39017 / CMH39018 (BLACK/BLUE),260,17.1,4.9,168,bumequipment,84,6500,1080,19700
https://shopee.com.my/Adda-5TD37-Sandal-Lelaki-Men-Clogs-Sandals-Shoes-i.8641646.3063040923,Adda 5TD37 Sandal Lelaki Men Clogs Sandals Shoes,258,35.0,4.9,169,monobomalaysia,86,48500,1440,363100
https://shopee.com.my/HIGH-CULTURED®-Vintage-Canvas-Sneakers-252-i.292124923.8204940909,HIGH CULTURED® Vintage Canvas Sneakers - 252,253,29.9,4.9,108,highcultured.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-Flection-Shoes-8790012-CHAR-i.28244780.11323719431,Skechers Men Flection Shoes - 8790012-CHAR,249,159.0,5.0,148,skechers.os,92,253000,1800,148700
https://shopee.com.my/Yuppies-Ultra-Comfort-Insoles-i.376496409.4678420681,Yuppies Ultra Comfort Insoles,241,22.5,5.0,128,yuppies.os,92,48400,1080,117400
https://shopee.com.my/XES-Men-MC6077-1-Loafers-(Black-Coffee)-i.18159534.10251843664,"XES Men MC6077-1 Loafers (Black, Coffee)",230,35.0,4.9,138,xesshoes,89,256400,1800,269900
https://shopee.com.my/Fipper-Slipper-Lite-Series-Rubber-for-Men-Women-Kasut-U-106-00913-Slipper-Perempuan-Slipper-Lelaki-i.24638652.13427603856,Fipper Slipper Lite Series Rubber for Men & Women / Kasut U 106-00913 / Slipper Perempuan / Slipper Lelaki,209,17.01,4.9,86,kasutu.os,92,48400,1080,117400
https://shopee.com.my/Skechers-Men-Elite-Flex-Sport-Casual-Shoes-237070-WNV-i.28244780.6685555713,Skechers Men Elite Flex Sport Casual Shoes - 237070-WNV,207,139.3,4.9,121,skechers.os,81,13100,1800,30000
https://shopee.com.my/Dr-Cardin-Men-Faux-Leather-Formal-Lace-up-Formal-Shoe-YOD-6339-i.134516310.12918226218,Dr Cardin Men Faux Leather  Formal  Lace-up Formal Shoe  YOD-6339,203,92.0,4.9,107,drcardin.os,86,48500,1440,363100
https://shopee.com.my/Dr-Cardin-Men-Light-Comfort-Slides-Sandals-D-SLP7676-i.134516310.5960674895,Dr Cardin Men Light Comfort Slides Sandals D-SLP7676,198,56.0,4.9,116,drcardin.os,78,151400,990,396900
https://shopee.com.my/Skechers-Men-Flection-Shoes-8790012-NVY-i.28244780.8086743183,Skechers Men Flection Shoes - 8790012-NVY,195,159.0,5.0,104,skechers.os,100,115600,1440,610200
https://shopee.com.my/Teva-Hurricane-XLT2-for-Men-Black-i.239164102.6422437780,Teva Hurricane XLT2 for Men - Black,195,248.0,4.9,99,tevamy.os,85,104700,1440,286700
https://shopee.com.my/ABARO-Super-Light-Comfy-FFA711G1-Tropix-Men-Slippers-Soft-Foam-Selipar-Lelaki-Kasut-Lelaki-i.14682573.3028502388,ABARO Super Light Comfy FFA711G1 Tropix Men Slippers Soft Foam Selipar Lelaki/Kasut Lelaki,187,22.9,4.9,116,abaroshoes.os,78,151400,990,396900
https://shopee.com.my/Birkenstock-Gizeh-EVA-(Black)-i.339708660.4973169810,Birkenstock Gizeh EVA (Black),184,151.2,4.9,85,originalclassicmy.os,78,151400,990,396900
https://shopee.com.my/Fipper-Slip-On-Unisex-Natural-Rubber-Slipper-Perempuan-UWalk-Slipper-Lelaki-UWalk-i.87217620.14604024264,Fipper Slip-On Unisex Natural Rubber / Slipper Perempuan UWalk / Slipper Lelaki UWalk,183,47.41,4.9,102,uwalkmy.os,92,48400,1080,117400
https://shopee.com.my/Skechers-Men-Go-Walk-5-On-The-Go-Sandals-Shoes-229003-BBK-i.28244780.7378028475,Skechers Men Go Walk 5 On-The-Go Sandals Shoes - 229003-BBK,179,223.2,5.0,113,skechers.os,88,116300,1440,192700
https://shopee.com.my/XES-Men-BSMM20715-Slip-On-Comfort-Sandal-(Brown-Black)-i.18159534.9714819369,"XES Men BSMM20715 Slip-On Comfort Sandal (Brown, Black)",177,25.0,5.0,117,xesshoes,92,253000,1800,148700
https://shopee.com.my/ABARO-Faux-Leather-FMA77D8-Comfort-Men-Formal-Shoes-(35-50)-Kasut-Formal-Lelaki-Kasut-Kulit-Budak-Kasut-Sekolah-男生皮鞋-i.14682573.7417476308,ABARO Faux Leather FMA77D8 Comfort Men Formal Shoes (35-50) Kasut Formal Lelaki/Kasut Kulit Budak/Kasut Sekolah/男生皮鞋,175,53.91,4.9,102,abaroshoes.os,88,116300,1440,192700
https://shopee.com.my/XES-Men-BSMCDL04-Loafers-(Black-Coffee)-i.18159534.12123012701,"XES Men BSMCDL04 Loafers (Black, Coffee)",174,47.0,4.9,102,xesshoes,91,2400,210,2100
https://shopee.com.my/ABARO-Men-Boy-Faux-Leather-FMA77D3-Formal-Shoes-Plus-Size-Kasut-Kulit-Pejabat-Kasut-Lelaki-Formal-Kasut-Kawad-男生皮鞋-男士皮鞋-i.14682573.5017400196,ABARO Men/Boy Faux Leather FMA77D3 Formal Shoes/Plus Size/Kasut Kulit Pejabat/Kasut Lelaki Formal/Kasut Kawad/男生皮鞋/男士皮鞋,170,53.91,5.0,103,abaroshoes.os,100,11900,330,3100
https://shopee.com.my/Scorpion-Men's-Sneakers-Shoes-SC6927-SC6928-i.28869314.8410768245,Scorpion Men's Sneakers Shoes SC6927 / SC6928,168,28.0,5.0,112,bumequipment,78,151400,990,396900
https://shopee.com.my/ABARO-Men-Shoes-CV7151-Men-Canvas-Shoes-Sneakers-Men-Casual-Kasut-Lelaki-Kasut-Kanvas-Lelaki-Kasut-Kasual-Lelaki-男生布鞋-男鞋-i.14682573.5429128434,ABARO Men Shoes CV7151 Men Canvas Shoes/Sneakers/Men Casual/Kasut Lelaki/Kasut Kanvas Lelaki/Kasut Kasual Lelaki/男生布鞋/男鞋,166,15.0,4.7,91,abaroshoes.os,84,6500,1080,19700
https://shopee.com.my/Fipper-Comfy-Rubber-for-Unisex-in-Maroon-i.27414006.2996220894,Fipper Comfy Rubber for Unisex in Maroon,162,16.92,4.9,85,fipperhq,98,29200,870,65300
https://shopee.com.my/XES-Men-BSMM20717-Slip-On-Comfort-Sandal-(Brown-Black)-i.18159534.8814838224,"XES Men BSMM20717 Slip-On Comfort Sandal (Brown, Black)",160,25.0,5.0,93,xesshoes,79,93500,1440,173700
https://shopee.com.my/Fipper-Slip-On-Non-Rubber-for-Unisex-in-Grey-(Dark)-Orange-i.27414006.13038994068,Fipper Slip On Non-Rubber for Unisex in Grey (Dark) / Orange,157,43.9,4.9,98,fipperhq,88,6200,1440,16800
https://shopee.com.my/Black-Hammer-Men-Sandals-Black-Grey-Red-BHC-201708-i.5527834.4477330855,Black Hammer Men Sandals - Black/Grey/Red BHC-201708,157,37.76,4.9,112,blackhammer,53,21500,2160,28800
https://shopee.com.my/Dr-Cardin-Men-Faux-Leather-Formal-Slip-On-Shoe-YOD-6336-i.134516310.13718194382,Dr Cardin Men Faux Leather  Formal  Slip-On  Shoe YOD-6336,155,92.0,4.9,93,drcardin.os,85,104700,1440,286700
https://shopee.com.my/Skechers-Men-Equalizer-4.0-Sandal-Sport-Casual-Shoes-237050-OLBK-i.28244780.9341149303,Skechers Men Equalizer 4.0 Sandal Sport Casual Shoes - 237050-OLBK,155,131.4,4.9,91,skechers.os,89,256400,1800,269900
https://shopee.com.my/ACTPLUS-Body-Alignment-Plus-Unisex-Slide-True-Black-i.524281729.11146073824,ACTPLUS Body Alignment Plus Unisex Slide - True Black,150,185.0,4.9,63,actpluscood.my,89,256400,1800,269900
https://shopee.com.my/Dr-Cardin-Men-Jetaire-Lightweight-Lace-Up-Shoes-VAR-60053-i.134516310.10642052473,Dr Cardin Men Jetaire Lightweight  Lace-Up Shoes VAR-60053,143,130.0,4.9,101,drcardin.os,78,151400,990,396900
https://shopee.com.my/Fipper-Slip-On-Non-Rubber-for-Unisex-Kasut-U-Fipper-Lelaki-Fipper-Perempuan-i.24638652.11272777826,Fipper Slip On Non-Rubber for Unisex / Kasut U / Fipper Lelaki / Fipper Perempuan,129,49.9,5.0,80,kasutu.os,53,21500,2160,28800
https://shopee.com.my/Skechers-Men-Equalizer-4.0-Sandal-Sport-Casual-Shoes-237050-CCBK-i.28244780.6385555698,Skechers Men Equalizer 4.0 Sandal Sport Casual Shoes - 237050-CCBK,128,131.4,4.9,84,skechers.os,89,256400,1800,269900
https://shopee.com.my/Skechers-Men-GOwalk-5-Shoes-216064-BBK-i.28244780.9239409495,Skechers Men GOwalk 5 Shoes - 216064-BBK,126,215.4,5.0,68,skechers.os,87,25700,1080,79200
https://shopee.com.my/Skechers-Men-GOwalk-Arch-Fit-Shoes-216116-BBK-i.28244780.9041412891,Skechers Men GOwalk Arch Fit Shoes - 216116-BBK,120,239.4,5.0,76,skechers.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-D'Lux-Walker-Shoes-232044-NVGY-i.28244780.11318402424,Skechers Men D'Lux Walker Shoes - 232044-NVGY,119,189.5,5.0,71,skechers.os,89,256400,1800,269900
https://shopee.com.my/Fipper-Comfy-Rubber-for-Unisex-in-Blue-(Snorkel)-i.27414006.10265449923,Fipper Comfy Rubber for Unisex in Blue (Snorkel),118,18.41,4.9,71,fipperhq,92,48400,1080,117400
https://shopee.com.my/Fipper-Slip-On-Non-Rubber-for-Unisex-in-Black-Navy-Grey-i.27414006.13538972366,Fipper Slip On Non-Rubber for Unisex in Black / Navy / Grey,118,43.9,4.8,72,fipperhq,53,21500,2160,28800
https://shopee.com.my/Fipper-Slipper-Trekker-Tribal-Series-with-Adjustable-Straps-i.27414006.8285876835,Fipper Slipper Trekker Tribal Series with Adjustable Straps,116,59.42,5.0,77,fipperhq,78,151400,990,396900
https://shopee.com.my/BIRKENSTOCK-Professional-A630-PU-Unisex-Regular-Width-Clogs-In-Black-10272-i.86994511.5221241602,BIRKENSTOCK Professional A630 PU Unisex Regular Width Clogs In Black- 10272,114,197.0,4.8,53,birkenstock.os,72,2900,1080,42300
https://shopee.com.my/GUYISA-safety-shoes-Free-socks-sports-low-top-steel-toe-cap-work-shoes-Anti-smash-and-anti-puncture-39-46-yellow-i.440859167.9684414888,GUYISA safety shoes Free socks sports low-top steel toe cap work shoes Anti-smash and anti-puncture 39-46 yellow,114,98.42,4.9,78,guyisa.os,92,253000,1800,148700
https://shopee.com.my/Dr-Cardin-Men-Light-Comfort-Slides-Sandals-D-SLI7726-Free-Name-Customisation--i.267627342.13852375101,Dr Cardin Men Light Comfort Slides Sandals D-SLI7726 [Free Name Customisation],113,61.0,5.0,80,tomorrowshowtime.os,100,115600,1440,610200
https://shopee.com.my/Fipper-Wide-Rubber-for-Unisex-in-Blue-(Snorkel)-Red-Black-i.27414006.10769898289,Fipper Wide Rubber for Unisex in Blue (Snorkel) / Red / Black,112,29.9,4.9,60,fipperhq,92,48400,1080,117400
https://shopee.com.my/Skechers-Men-D'Lux-Walker-Shoes-232163-BKW-i.28244780.2978879810,Skechers Men D'Lux Walker Shoes - 232163-BKW,110,189.5,5.0,60,skechers.os,68,4000,810,8300
https://shopee.com.my/Louis-Cuppers-Men-Slip-On-Comfort-Loafers-191031264-i.98071594.6686811799,Louis Cuppers Men Slip On Comfort Loafers - 191031264,108,82.8,4.9,74,louiscuppers.os,100,115600,1440,610200
https://shopee.com.my/Louis-Cuppers-Men-Lace-Up-Comfort-Loafers-191031263-i.98071594.8552274576,Louis Cuppers Men Lace Up Comfort Loafers - 191031263,104,82.8,4.9,73,louiscuppers.os,81,13100,1800,30000
https://shopee.com.my/Skechers-Men-Sport-Casual-Monster-Shoes-232189-TPMT-i.28244780.11118402592,Skechers Men Sport Casual Monster Shoes - 232189-TPMT,99,199.0,5.0,65,skechers.os,100,115600,1440,610200
https://shopee.com.my/GUYISA-safety-shoes-men-Waterproof-Super-light-kasut-safety-boot-lelaki-murah-PU-sole-Ready-stock-kasut-keselamatan-i.440859167.9165870420,GUYISA safety shoes men Waterproof Super light kasut safety boot lelaki murah PU sole Ready stock kasut keselamatan,99,63.32,4.9,55,guyisa.os,78,151400,990,396900
https://shopee.com.my/BATA-Men-Black-Sandals-8626225-i.45681546.6490712688,BATA Men Black Sandals - 8626225,98,15.99,5.0,46,bata.os,98,29200,870,65300
https://shopee.com.my/-Shopee-Exclusive-POWER-by-BATA-Men-Black-Sandals-8806006-i.45681546.12443670963,[Shopee Exclusive] POWER by BATA Men Black Sandals - 8806006,94,27.99,4.8,48,bata.os,98,29200,870,65300
https://shopee.com.my/XES-Men-BSMCJGL02-Stylish-Sneakers-(Grey-Black)-i.18159534.14103291248,XES Men BSMCJGL02 Stylish Sneakers (Grey/Black),89,32.97,5.0,62,xesshoes,90,22100,570,101000
https://shopee.com.my/XES-Men-BSMCJGL01-Stylish-Sneakers-(Grey-Black)-i.18159534.14103293799,XES Men BSMCJGL01 Stylish Sneakers (Grey/Black),85,32.97,4.9,50,xesshoes,92,253000,1800,148700
https://shopee.com.my/BUM-Equipment-Unisex-Sport-Shoes-B69078-B69079-(Black-Pink)-i.28869314.12119841738,BUM Equipment Unisex Sport Shoes B69078/B69079 (Black/Pink),84,56.05,5.0,53,bumequipment,100,115600,1440,610200
https://shopee.com.my/asadi-Unisex-Sandal-MJA145541--i.81901343.12639118474,asadi Unisex Sandal [MJA145541],80,24.0,5.0,33,asadi_malaysia,88,116300,1440,192700
https://shopee.com.my/Skechers-Men-Sport-Casual-Monster-Shoes-232189-WNV-i.28244780.9778185956,Skechers Men Sport Casual Monster Shoes - 232189-WNV,79,199.0,5.0,46,skechers.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-Goodyear-GOwalk-Stability-Shoes-216141-BBK-i.28244780.8958970553,Skechers Men Goodyear GOwalk Stability Shoes - 216141-BBK,71,251.3,5.0,48,skechers.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-Sport-D'Lux-Walker-Shoes-232045-NVY-i.28244780.9978185905,Skechers Men Sport D'Lux Walker Shoes - 232045-NVY,64,189.5,5.0,39,skechers.os,85,104700,1440,286700
https://shopee.com.my/Skechers-Men-Skech-Air-Element-2.0-Shoes-232240-WBK-i.28244780.11453649867,Skechers Men Skech-Air Element 2.0 Shoes - 232240-WBK,60,299.0,5.0,30,skechers.os,78,151400,990,396900
https://shopee.com.my/Skechers-Men-Skech-Air-Element-2.0-Shoes-232240-BKBL-i.28244780.9394493854,Skechers Men Skech-Air Element 2.0 Shoes - 232240-BKBL,56,299.0,5.0,40,skechers.os,88,116300,1440,192700
https://shopee.com.my/-Shopee-Exclusive-BATA-Men-Dark-Brown-Sandals-8804001-i.45681546.12914670373,[Shopee Exclusive] BATA Men Dark Brown Sandals - 8804001,44,49.99,4.8,16,bata.os,86,48500,1440,363100
https://shopee.com.my/Skechers-Men-Glide-Step-Shoes-232270-BBK-i.28244780.11243951615,Skechers Men Glide-Step Shoes - 232270-BBK,39,279.0,5.0,22,skechers.os,100,115600,1440,610200
https://shopee.com.my/Skechers-Men-Foamies-GOwalk-5-Sandals-243002-BKGY-i.28244780.14913485635,Skechers Men Foamies GOwalk 5 Sandals - 243002-BKGY,26,199.0,5.0,13,skechers.os,78,151400,990,396900
